Symbol	Description
XDIV.TO	Ishares Core MSCI CAD Qlty Div ETF
XDLR.TO	Ishares ESG MSCI EAFE Leaders Index ETF
XDSR.TO	Ishares ESG Advanced MSCI EAFE Index ETF
XDU.TO	Ishares Core MSCI US Qlty Div ETF
XDU.U.TO	Ishares Core MSCI US Qlty Div ETF USD
XDUH.TO	Ishares Core MSCI US Qlty Div ETF
XDV.TO	Ishares Canadian Select Div Index ETF
XEB.TO	Ishares JP Morgan USD Emerg Mkts Bd ETF
XEC.TO	Ishares Core MSCI Emerging Mkts IMI ETF
XEC.U.TO	Ishares Core MSCI Emrgng Mkt IMI ETF
XEF.TO	Ishares Core MSCI EAFE IMI Index ETF
XEF.U.TO	Ishares Core MSCI EAFE IMI Index ETF
XEG.TO	Ishares S&P TSX Capped Energy Index ETF
XEH.TO	Ishares MSCI Europe IMI Index ETF
XEI.TO	Ishares S&P TSX Comp High Div Index ETF
XEM.TO	Ishares MSCI Emerging Markets ETF
XEN.TO	Ishares Jantzi Social Index ETF
XEQT.TO	Ishares Core Equity ETF
XESG.TO	Ishares ESG MSCI Cda Index ETF
XEU.TO	Ishares MSCI Europe IMI Index ETF
XFA.TO	Ishares Edge MSCI Multifact USA Idx CAD
XFC.TO	Ishares Edge MSCI Multifact Can ETF
XFF.TO	Ishares Edge MSCI Multifact EAFE Idx CAD
XFH.TO	Ishares Core MSCI EAFE IMI Index ETF
XFI.TO	Ishares Edge MSCI Multifact EAFE ETF
XFN.TO	Ishares S&P TSX Capped Financials ETF
XFR.TO	Ishares Floating Rate Index ETF
XFS.TO	Ishares Edge MSCI Multifact USA ETF
XGB.TO	Ishares Canadian Govt Bond Index ETF
XGD.TO	Ishares S&P TSX Global Gold Index ETF
XGI.TO	Ishares S&P Global Industrials ETF
XGRO.TO	Ishares Core Growth ETF Portfolio
XHB.TO	Ishares CDN Hybrid Corp Bond ETF
XHC.TO	Ishares Global Healthcare Index ETF
XHD.TO	Ishares US High Div Equity Index ETF
XHU.TO	Ishares US High Div Equity Index ETF
XHY.TO	Ishares US High Yield Bond Index ETF
XIC.TO	Ishares Core S&P TSX Capped Comp ETF
XID.TO	Ishares India Index ETF
XIG.TO	Ishares US IG Corporate Bond Index ETF
XIGS.TO	Ishares 1 To 5 Year US IG Corp Bond ETF
XIN.TO	Ishares MSCI EAFE Index ETF
XINC.TO	Ishares Core Income Balanced ETF
XIT.TO	Ishares S&P TSX Capped Info Tech ETF
XIU.TO	Ishares S&P TSX 60 Index ETF
XLB.TO	Ishares Core CDN Long Term Bond ETF
XLY.TO	Auxly Cannabis Group Inc
XMA.TO	Ishares S&P TSX Capped Materials ETF
XMC.TO	Ishares S&P US Midcap Index ETF
XMC.U.TO	Ishares SP US Midcap ETF USD
XMD.TO	Ishares S&P TSX Completion Index ETF
XMF.A.TO	M Split Corp Capital Shares 2014
XMF.PR.B.TO	M Split Corp Class I Pref Shares
XMF.PR.C.TO	M Split Corp Class II Pref Shares 2014
XMH.TO	Ishares S&P US Midcap Index ETF CAD Hgd
XMI.TO	Ishares Edge MSCI Min Vol EAFE ETF
XML.TO	Ishares Edge MSCI Mv EAFE ETF CAD Hgd
XMM.TO	Ishares Edge MSCI Min Vol Emerg ETF
XMS.TO	Ishares Edge MSCI Mv USA ETF CAD Hgd
XMTM.TO	Ishares Edge MSCI USA Momnt Fctr ETF
XMU.TO	Ishares Edge MSCI Min Vol USA ETF
XMU.U.TO	Ishares Edge MSCI Min Vol USA Index ETF
XMV.TO	Ishares Edge MSCI Min Vol Can ETF
XMW.TO	Ishares Edge MSCI Min Vol Gbl ETF
XMY.TO	Ishares Edge MSCI Mv Global ETF CAD Hgd
XPF.TO	Ishares S&P TSX Na Pref Stock ETF
XQB.TO	Ishares High Qlty Canadian Bond ETF
XQLT.TO	Ishares Edge MSCI USA Qlty Fctr Indx ETF
XQQ.TO	Ishares Nasdaq 100 Index ETF
XRB.TO	Ishares CDN Real Return Bond Index ETF
XRE.TO	Ishares S&P TSX Capped REIT Index ETF
XSAB.TO	Ishares ESG CDN Agg Bond Index ETF
XSB.TO	Ishares Core CDN Short Trm Bond ETF
XSC.TO	Ishares Cons ST Strat Fix Inc ETF
XSE.TO	Ishares Cons Strat Fix Inc ETF
XSEA.TO	Ishares ESG MSCI EAFE Index ETF
XSEM.TO	Ishares ESG MSCI Emerg Mkts Index ETF
XSH.TO	Ishares Core CDN ST Corp Maple Bnd ETF
XSHG.TO	Ishares ESG Adv 1 To 5 Yr CAD Bd Idx ETF
XSHU.TO	Ishares 1 To 5 Year US IG Corp Bond ETF
XSI.TO	Ishares Short Term Strategic FI ETF
XSMC.TO	Ishares SP US Small Cap Index ETF
XSMH.TO	Ishares SP US Small Cap ETF CAD Hdg
XSP.TO	Ishares Core S&P 500 ETF CAD Hdg ETF
XSQ.TO	Ishares ST HI Qlty CDN Bond ETF
XST.TO	Ishares S&P TSX Capped Cons Stpl ETF
XSTB.TO	Ishares ESG CDN ST Bond Index ETF
XSTH.TO	Ishares 0 To 5 Year TIPS Bond Idx HD ETF
XSTP.TO	Ishares 0 To 5 Year TIPS Bond Index ETF
XSTP.U.TO	Ishares 0 To 5 Yr TIPS Bond Idx ETF USD
XSU.TO	Ishares US Small Cap Index ETF
XSUS.TO	Ishares ESG MSCI USA Index ETF
XTC.TO	Exco Tech
XTD.TO	Tdb Split Corp Class A Shares
XTD.PR.A.TO	Tdb Split Corp Priority Equity Shares
XTG.TO	Xtra Gold Resources Corp
XTR.TO	Ishares Diversified Monthly Income ETF
XUH.TO	Ishares Core S&P US Total Mkt ETF CAD Heg
XULR.TO	Ishares ESG MSCI USA Leaders Index ETF
XUS.TO	Ishares Core S&P 500 Index ETF
XUS.U.TO	Ishares Core SP 500 Index ETF
XUSR.TO	Ishares ESG Advanced MSCI USA Index ETF
XUT.TO	Ishares S&P TSX Capped Utilities ETF
XUU.TO	Ishares Core S&P US Total Market ETF
XUU.U.TO	Ishares Core SP US Total Market ETF USD
XVLU.TO	Ishares Edge MSCI USA Value Fctr ETF
XWD.TO	Ishares MSCI World Index ETF
XXM.TO	CI First Asset Morningstar US Value Index ETF
XXM.B.TO	CI First Asset Morningstr US Value Idx Unhdgd Et
Y.TO	Yellow Pages Ltd
Y.WT.TO	Yellow Pages Ltd WT
YCM.TO	Commerce Split Corp Capital Shares
YCM.PR.A.TO	Commerce Split Corp Class I Pref Shares
YGR.TO	Yangarra Resources Ltd
YRB.TO	Yorbeau Resources Inc
YRI.TO	Yamana Gold Inc
YXM.TO	CI First Asset MS US Momentum Index ETF
YXM.B.TO	CI First Asset MS US Momentum Unhdgd ETF
ZACE.TO	BMO US All Cap Equity Fund ETF
ZAG.TO	BMO Aggregate Bond Index ETF
ZAUT.TO	BMO MSCI Tech Industrial Innov Idx ETF
ZBAL.TO	BMO Balanced ETF
ZBBB.TO	BMO BBB Corporate Bond Index ETF
ZBK.TO	BMO Equal Weight US Bank ETF
ZCB.TO	BMO Corporate Bond Index ETF
ZCH.TO	BMO China Equity Index ETF
ZCLN.TO	BMO Clean Energy Index ETF
ZCM.TO	BMO Mid Corporate Bond ETF
ZCN.TO	BMO S&P TSX Capped Comp ETF
ZCON.TO	BMO Conservative ETF
ZCPB.TO	BMO Core Plus Bond Fund
ZCS.TO	BMO Short Corp Bond ETF
ZCS.L.TO	BMO Short Corporate Bond ETF
ZDB.TO	BMO Discount Bond ETF
ZDH.TO	BMO Intl Div CAD Hedge ETF
ZDI.TO	BMO International Dividend ETF
ZDJ.TO	BMO DJIA Hedged To CAD Index ETF
ZDM.TO	BMO MSCI EAFE Hedged To CAD Index ETF
ZDV.TO	BMO Canadian Dividend ETF
ZDY.TO	BMO US Dividend ETF CAD
ZDY.U.TO	BMO US Dividend ETF USD
ZEA.TO	BMO MSCI EAFE ETF
ZEB.TO	BMO S&P TSX Equal Weight Banks Index ETF
ZEF.TO	BMO Emg Mkt Bond Hdgd To CAD ETF
ZEM.TO	BMO MSCI Emerging Markets Index ETF
ZEO.TO	BMO S&P TSX Eql Weight Oil Gas Index ETF
ZEQ.TO	BMO MSCI EU Hq Hcad ETF
ZESG.TO	BMO Balanced ESG ETF
ZFC.TO	BMO Sia Focused Canadian Equity Fund
ZFH.TO	BMO Floating Rate High Yield ETF
ZFIN.TO	BMO MSCI Fintech Innovation Index ETF
ZFL.TO	BMO Long Fed Bond Index ETF
ZFM.TO	BMO Mid Federal Bond Index ETF
ZFN.TO	BMO Sia Focused North American Equity Fu
ZFS.TO	BMO Short Federal Bond Index ETF
ZFS.L.TO	BMO Short Federal Bond Index ETF
ZGB.TO	BMO Government Bond Index ETF
ZGD.TO	BMO S&P TSX Eql Weight Global Gold ETF
ZGEN.TO	BMO MSCI Genomic Innovation Index ETF
ZGI.TO	BMO Global Infrastructure Index ETF
ZGQ.TO	BMO MSCI All Cntry Wrld High Qlty ETF
ZGRO.TO	BMO Growth ETF
ZGSB.TO	BMO Global Strategic Bond Fund
ZHP.TO	BMO US Pref Share Hgd To CAD ETF
ZHU.TO	BMO Equal Weight US Health Care Idx ETF
ZHY.TO	BMO High Yld US Corp Bnd Hdg CAD ETF
ZIC.TO	BMO Mid Term US IG Corp Bond ETF
ZIC.U.TO	BMO Mid Term US IG Corp Bond ETF USD
ZID.TO	BMO India Equity Index ETF
ZIN.TO	BMO S&P TSX Equal Weight Indstrl ETF
ZINN.TO	BMO MSCI Innovation Index ETF
ZINT.TO	BMO MSCI Next Gen Internet Innov Idx ETF
ZJG.TO	BMO Junior Gold Index ETF
ZJK.TO	BMO High Yield US Corp Bond ETF
ZJK.U.TO	BMO High Yield US Corp Bond Indx ETF USD
ZLB.TO	BMO Low Volatility CAD Equity ETF
ZLC.TO	BMO Long Corporate Bond Index ETF
ZLD.TO	BMO Low Vol Intl Eqty Hed To CAD ETF
ZLE.TO	BMO Low Vol Emerg Mkt Equity ETF
ZLH.TO	BMO Low Vol US Eqty Hed To CAD ETF
ZLI.TO	BMO Low Vol Intl Equity ETF
ZLU.TO	BMO Low Volatility US Equity ETF CAD
ZLU.U.TO	BMO Low Volatility US Equity ETF USD
ZMBS.TO	BMO Canadian MBS Index ETF
ZMI.TO	BMO Monthly Income ETF
ZMID.TO	BMO SP US Mid Cap Index ETF
ZMP.TO	BMO Mid Provincial Bond Index ETF
ZMSB.TO	BMO Global Multi Sector Bond Fund
ZMT.TO	BMO Sptsx Eql Wgt Glb Metal Hed CAD ETF
ZMU.TO	BMO Mid Term US IG Corp Bd Hgd CAD Idx
ZNQ.TO	BMO Nasdaq 100 Equity Index ETF
ZNQ.U.TO	BMO Nasdaq 100 Equity Index ETF USD
ZPAY.TO	BMO Premium Yield ETF
ZPAY.F.TO	BMO Premium Yield ETF Hedged
ZPAY.U.TO	BMO Premium Yield ETF USD
ZPH.TO	BMO US Put Write Hedged To CAD ETF
ZPL.TO	BMO Long Provincial Bond Index ETF
ZPR.TO	BMO Laddered Pref Share ETF
ZPS.TO	BMO Short Provincial Bond Index ETF
ZPS.L.TO	BMO Short Provincial Bond Index ETF
ZPW.TO	BMO US Put Write ETF
ZPW.U.TO	BMO US Put Write ETF USD
ZQB.TO	BMO High Quality Corporate Bond Idx ETF
ZQQ.TO	BMO Nasdaq 100 Hedged To CAD Index ETF
ZRE.TO	BMO Equal Weight Reits Index ETF
ZRR.TO	BMO Real Return Bond Index ETF
ZSB.TO	BMO Short Term Bond Idx ETF
ZSML.TO	BMO SP US Small Cap Index ETF
ZSML.F.TO	BMO SP US Small Cap Index ETF Hedged
ZSML.U.TO	BMO SP US Small Cap Index ETF USD
ZSP.TO	BMO S&P 500 Index ETF
ZSP.U.TO	BMO S&P 500 Index ETF USD
ZST.TO	BMO Ultra Short Term Bond ETF
ZST.L.TO	BMO Ultra Short Term Bond ETF
ZSU.TO	BMO ST US IG Corp Bond Hcad ETF
ZTIP.TO	BMO Short Term US TIPS Index ETF
ZTIP.F.TO	BMO Short Term US TIPS Index Hgd ETF
ZTIP.U.TO	BMO Short Term US TIPS Index ETF USD
ZUB.TO	BMO Eql Wgt US Bank Hdgd To CAD ETF
ZUD.TO	BMO US Dividend Hedged To CAD ETF
ZUE.TO	BMO S&P 500 Hedged CAD ETF
ZUH.TO	BMO Eql Wgt US Hcare Hdgd To CAD ETF
ZUP.TO	BMO US Pref Share Index ETF
ZUP.U.TO	BMO US Pref Share Index ETF
ZUQ.TO	BMO MSCI USA High Quality Index ETF
ZUQ.F.TO	BMO MSCI USA High Quality Index ETF [Hed
ZUQ.U.TO	BMO MSCI USA High Quality Index ETF USD
ZUS.U.TO	BMO Ultra Short Term US Bond ETF USD
ZUS.V.TO	BMO Ultra Short Term US Bond ETF USD Acc
ZUT.TO	BMO Equal Weight Utilities Index ETF
ZVC.TO	BMO MSCI Cda Value Index ETF
ZVU.TO	BMO MSCI USA Value Index ETF
ZWA.TO	BMO Covered Call DJIA CAD ETF
ZWB.TO	BMO Covered Call Canadian Banks ETF
ZWC.TO	BMO CDN High Div Covered Call ETF
ZWE.TO	BMO Europe High Div CC CAD Hedge ETF
ZWG.TO	BMO Gbl High Dividend Covered Call ETF
ZWH.TO	BMO US High Dividend Covered Call ETF
ZWH.U.TO	BMO US High Dividend Cov Call ETF USD
ZWK.TO	BMO Covered Call US Banks ETF
ZWP.TO	BMO Europe High Div Cov Call ETF
ZWS.TO	BMO US High Div Cov Call Hgd ETF
ZWT.TO	BMO Covered Call Technology ETF
ZWU.TO	BMO Covered Call Utilities ETF
ZXM.TO	CI First Asset Morningstar Intl Momentum ETF
ZXM.B.TO	CI First Asset Morningstar Intl Momentum ETF
ZZZ.TO	Sleep Country Canada Holdings Inc
ZZZD.TO	BMO Tactical Dividend ETF Fund
